key	wordnet_id	synonyms
n03717622	eng-30-03717622-n	putdeksel, riooldeksel
n03720891	eng-30-03720891-n	
n03721384	eng-30-03721384-n	marimba, xylofoon
n03724870	eng-30-03724870-n	masker, mom, mombakkes
n03729826	eng-30-03729826-n	
n03733131	eng-30-03733131-n	meiboom
n03733281	eng-30-03733281-n	doolhof, dwaaltuin, gangenstelsel, labyrint
n03733805	eng-30-03733805-n	maatbeker
n03742115	eng-30-03742115-n	
n03743016	eng-30-03743016-n	
n03759954	eng-30-03759954-n	Mike, microfoon
n03761084	eng-30-03761084-n	magnetron
n03763968	eng-30-03763968-n	
n03764736	eng-30-03764736-n	
n03769881	eng-30-03769881-n	busje
n03770439	eng-30-03770439-n	minirok
n03770679	eng-30-03770679-n	
n03773504	eng-30-03773504-n	
n03775071	eng-30-03775071-n	want
n03775546	eng-30-03775546-n	
n03776460	eng-30-03776460-n	stacaravan
n03777568	eng-30-03777568-n	T-Ford
n03777754	eng-30-03777754-n	modem
n03781244	eng-30-03781244-n	abdij, communauteit, communiteit, convent, klooster, kloostergemeenschap, monnikenklooster
n03782006	eng-30-03782006-n	
n03785016	eng-30-03785016-n	bromfiets, brommer, plof
n03786901	eng-30-03786901-n	mortier, vijzel
n03787032	eng-30-03787032-n	
n03788195	eng-30-03788195-n	mesigit, missigit, moskee
n03788365	eng-30-03788365-n	klamboe, muggengordijn, muggennet
n03791053	eng-30-03791053-n	scooter
n03792782	eng-30-03792782-n	BMX
n03792972	eng-30-03792972-n	
n03793489	eng-30-03793489-n	computermuis, muis
n03794056	eng-30-03794056-n	muizeval
n03796401	eng-30-03796401-n	verhuisauto, verhuiswagen
n03803284	eng-30-03803284-n	
n03804744	eng-30-03804744-n	nagel, spijker
n03814639	eng-30-03814639-n	
n03814906	eng-30-03814906-n	halsketting, halssieraad, halssnoer, ketting
n03825788	eng-30-03825788-n	
n03832673	eng-30-03832673-n	
n03837869	eng-30-03837869-n	obelisk
n03838899	eng-30-03838899-n	hobo
n03840681	eng-30-03840681-n	okarina, ocarina
n03841143	eng-30-03841143-n	hodometer, kilometerteller, wegmeter
n03843555	eng-30-03843555-n	oliefilter
n03854065	eng-30-03854065-n	orgel, orgaan
n03857828	eng-30-03857828-n	oscilloscoop
n03866082	eng-30-03866082-n	
n03868242	eng-30-03868242-n	ossekar, ossenkar, ossenwagen, ossewagen
n03868863	eng-30-03868863-n	zuurstofmasker
n03871628	eng-30-03871628-n	pak, pakje
n03873416	eng-30-03873416-n	paddel, bat, batje
n03874293	eng-30-03874293-n	
n03874599	eng-30-03874599-n	hangslot
n03876231	eng-30-03876231-n	penseel, verfkwast
n03877472	eng-30-03877472-n	pyjama
n03877845	eng-30-03877845-n	paleis
n03884397	eng-30-03884397-n	
n03887697	eng-30-03887697-n	keukenrol
n03888257	eng-30-03888257-n	parachute, springscherm, valscherm
n03888605	eng-30-03888605-n	brug
n03891251	eng-30-03891251-n	
n03891332	eng-30-03891332-n	parkeermeter
n03895866	eng-30-03895866-n	equipage
n03899768	eng-30-03899768-n	terras
n03902125	eng-30-03902125-n	munttelefoon
n03903868	eng-30-03903868-n	plint, voetstuk, sokkel
n03908618	eng-30-03908618-n	etui, pennenzak
n03908714	eng-30-03908714-n	slijper
n03916031	eng-30-03916031-n	essence, parfum
n03920288	eng-30-03920288-n	petrischaal
n03924679	eng-30-03924679-n	fotokopieerapparaat
n03929660	eng-30-03929660-n	plectrum
n03929855	eng-30-03929855-n	
n03930313	eng-30-03930313-n	paalwerk, palissade
n03930630	eng-30-03930630-n	
n03933933	eng-30-03933933-n	strekdam
n03935335	eng-30-03935335-n	spaarvarken, spaarpot
n03937543	eng-30-03937543-n	
n03938244	eng-30-03938244-n	kussen, peluw, oorkussen, hoofdkussen
n03942813	eng-30-03942813-n	
n03944341	eng-30-03944341-n	
n03947888	eng-30-03947888-n	
n03950228	eng-30-03950228-n	lampetkan, kan
n03954731	eng-30-03954731-n	
n03956157	eng-30-03956157-n	planetarium
n03958227	eng-30-03958227-n	
n03961711	eng-30-03961711-n	
n03967562	eng-30-03967562-n	ploeg
n03970156	eng-30-03970156-n	
n03976467	eng-30-03976467-n	polaroidcamera
n03976657	eng-30-03976657-n	paal, boom, polsstok, staak
n03977966	eng-30-03977966-n	overvalwagen
n03980874	eng-30-03980874-n	
n03982430	eng-30-03982430-n	biljart, tafelbiljart
n03983396	eng-30-03983396-n	
n03991062	eng-30-03991062-n	bloempot
n03992509	eng-30-03992509-n	draaischijf, pottenbakkersschijf, pottenbakkerswiel
n03995372	eng-30-03995372-n	
n03998194	eng-30-03998194-n	gebedskleed
n04004767	eng-30-04004767-n	printer
n04005630	eng-30-04005630-n	penitentiaire inrichting, huis van bewaring, gevangenis
n04008634	eng-30-04008634-n	raket, projectiel
n04009552	eng-30-04009552-n	projectieapparaat, projectietoestel, projector
n04019541	eng-30-04019541-n	puck
n04023962	eng-30-04023962-n	bokszak, stootzak
n04026417	eng-30-04026417-n	beurs, geldbuidel, geldtas, geldzak, knip, portemonnee, zak
n04033901	eng-30-04033901-n	
n04033995	eng-30-04033995-n	quilt, poederdons
n04037443	eng-30-04037443-n	racefiets
n04039381	eng-30-04039381-n	raket, racket
n04040759	eng-30-04040759-n	radiator, verwarmingselement
n04041544	eng-30-04041544-n	radio
n04044716	eng-30-04044716-n	
n04049303	eng-30-04049303-n	
n04065272	eng-30-04065272-n	
n04067472	eng-30-04067472-n	
n04069434	eng-30-04069434-n	
n04070727	eng-30-04070727-n	ijskast, koelkast
n04074963	eng-30-04074963-n	afgelegen, onwaarschijnlijk, afstandsbesturing, afstandsbediening
n04081281	eng-30-04081281-n	eetcafe, eetgelegenheid, eethuis, eettent, restaurant
n04086273	eng-30-04086273-n	revolver
n04090263	eng-30-04090263-n	karabijn, geweer, proppenschieter, schietgeweer, schietijzer, spuit
n04099969	eng-30-04099969-n	schommelstoel
n04111531	eng-30-04111531-n	
n04116512	eng-30-04116512-n	gom, gum, stuf, vlakgom
n04118538	eng-30-04118538-n	rugbybal
n04118776	eng-30-04118776-n	maat, maatlat, meetlat, scepter
n04120489	eng-30-04120489-n	
n04125021	eng-30-04125021-n	
n04127249	eng-30-04127249-n	sluitspeld, toespeld, veiligheidsspeld
n04131690	eng-30-04131690-n	
n04133789	eng-30-04133789-n	Jezusnikes, sandaal, zool
n04136333	eng-30-04136333-n	sarong
n04141076	eng-30-04141076-n	sax, saxofoon
n04141327	eng-30-04141327-n	schede
n04141975	eng-30-04141975-n	schaal, weegschaal, weegtoestel
n04146614	eng-30-04146614-n	schoolbus
n04147183	eng-30-04147183-n	schoener
n04149813	eng-30-04149813-n	scorebord, uitslagenbord
n04152593	eng-30-04152593-n	televisiescherm
n04153751	eng-30-04153751-n	schroef
n04154565	eng-30-04154565-n	schroevedraaier, schroevendraaier
n04162706	eng-30-04162706-n	gordel, veiligheidsgordel
n04179913	eng-30-04179913-n	naaimachine
n04192698	eng-30-04192698-n	bescherming, schild
n04200800	eng-30-04200800-n	schoenenwinkel, schoenenzaak
n04201297	eng-30-04201297-n	
n04204238	eng-30-04204238-n	boodschappenmandje
n04204347	eng-30-04204347-n	winkelwagen
n04208210	eng-30-04208210-n	schop, schep, schepje
n04209133	eng-30-04209133-n	
n04209239	eng-30-04209239-n	douchegordijn
n04228054	eng-30-04228054-n	ski
n04229816	eng-30-04229816-n	
n04235860	eng-30-04235860-n	slaapzak
n04238763	eng-30-04238763-n	
n04239074	eng-30-04239074-n	roldeur, schuifdeur
n04243546	eng-30-04243546-n	eenarmige bandiet, gokautomaat, gokkast
n04251144	eng-30-04251144-n	
n04252077	eng-30-04252077-n	sneeuwscooter
n04252225	eng-30-04252225-n	sneeuwploeg, sneeuwruimer, sneeuwschuiver
n04254120	eng-30-04254120-n	
n04254680	eng-30-04254680-n	
n04254777	eng-30-04254777-n	sok
n04258138	eng-30-04258138-n	zonnecollector
n04259630	eng-30-04259630-n	
n04263257	eng-30-04263257-n	soepkom
n04264628	eng-30-04264628-n	spatiebalk, spatietoets
n04265275	eng-30-04265275-n	kachel
n04266014	eng-30-04266014-n	ruimtependel, ruimteveer, shuttle, space-shuttle
n04270147	eng-30-04270147-n	
n04273569	eng-30-04273569-n	
n04275548	eng-30-04275548-n	
n04277352	eng-30-04277352-n	
n04285008	eng-30-04285008-n	
n04286575	eng-30-04286575-n	straler
n04296562	eng-30-04296562-n	podium, verhoog
n04310018	eng-30-04310018-n	stoomlocomotief
n04311004	eng-30-04311004-n	
n04311174	eng-30-04311174-n	
n04317175	eng-30-04317175-n	stethoscoop
n04325704	eng-30-04325704-n	stola
n04326547	eng-30-04326547-n	
n04328186	eng-30-04328186-n	
n04330267	eng-30-04330267-n	haard, kachel, kacheltje, verwarmingstoestel
n04332243	eng-30-04332243-n	vergiet, zeef
n04335435	eng-30-04335435-n	mijnwagen, tram
n04336792	eng-30-04336792-n	draagbaar, baar, brancard
n04344873	eng-30-04344873-n	
n04346328	eng-30-04346328-n	stoepa
n04347754	eng-30-04347754-n	U-boot, duikboot, onderzeeboot, onderzeeër
n04350905	eng-30-04350905-n	kleur, kostuum, zaak, pak
n04355338	eng-30-04355338-n	zonnewijzer
n04355933	eng-30-04355933-n	zonnebril
n04356056	eng-30-04356056-n	zonnebril
n04357314	eng-30-04357314-n	zonnebrandcrème
n04366367	eng-30-04366367-n	hangbrug, kettingbrug
n04367480	eng-30-04367480-n	zwabber
n04370456	eng-30-04370456-n	sweater
n04371430	eng-30-04371430-n	zwembroek
n04371774	eng-30-04371774-n	
n04372370	eng-30-04372370-n	contact, schakelaar, schakelknop
n04376876	eng-30-04376876-n	injectiespuit, injectiespuitje, spuit
n04380533	eng-30-04380533-n	tafellamp
n04389033	eng-30-04389033-n	gevechtswagen, tank
n04392985	eng-30-04392985-n	
n04398044	eng-30-04398044-n	theepot
n04399382	eng-30-04399382-n	knuffelbeer, teddybeer
n04404412	eng-30-04404412-n	
n04409515	eng-30-04409515-n	tennisbal
n04417672	eng-30-04417672-n	strobedekking, strodak
n04418357	eng-30-04418357-n	doek, scherm, toneelgordijn, toneelscherm
n04423845	eng-30-04423845-n	kous, vingerhoed
n04428191	eng-30-04428191-n	
n04429376	eng-30-04429376-n	
n04435653	eng-30-04435653-n	
n04442312	eng-30-04442312-n	broodrooster, tosti-apparaat, tostiapparaat
n04443257	eng-30-04443257-n	sigarenmagazijn, sigarenwinkel, tabakswinkel
n04447861	eng-30-04447861-n	wc-bril
n04456115	eng-30-04456115-n	
n04458633	eng-30-04458633-n	totempaal
n04461696	eng-30-04461696-n	takelwagen
n04462240	eng-30-04462240-n	speelgoedwinkel
n04465501	eng-30-04465501-n	motortrekker, tractor, trekker, wieltrekker
n04467665	eng-30-04467665-n	
n04476259	eng-30-04476259-n	serveerblad, blad, dienblad, plateau, presenteerblad, schenkblad, theeblad
n04479046	eng-30-04479046-n	lange jas
n04482393	eng-30-04482393-n	driewieler, kinderfiets
n04483307	eng-30-04483307-n	trimaran
n04485082	eng-30-04485082-n	statief
n04486054	eng-30-04486054-n	ereboog, erepoort, triomfboog, zegeboog
n04487081	eng-30-04487081-n	
n04487394	eng-30-04487394-n	bazuin, schuiftrombone, schuiftrompet, trombone
n04493381	eng-30-04493381-n	tobbe, wastobbe
n04501370	eng-30-04501370-n	draaihek, klaphek, tourniquet
n04505470	eng-30-04505470-n	
n04507155	eng-30-04507155-n	
n04509417	eng-30-04509417-n	eenwieler
n04515003	eng-30-04515003-n	
n04517823	eng-30-04517823-n	stofzuigen, stofzuiger
n04522168	eng-30-04522168-n	bloemenvaas, pul, vaas
n04523525	eng-30-04523525-n	welving, gewelf
n04525038	eng-30-04525038-n	fluweel, manchester, velvet
n04525305	eng-30-04525305-n	verkoopautomaat, automaat
n04532106	eng-30-04532106-n	gewaad, misgewaad, mishemd, miskleed
n04532670	eng-30-04532670-n	viaduct
n04536866	eng-30-04536866-n	vedel, fiedel, viool
n04540053	eng-30-04540053-n	volleybal
n04542943	eng-30-04542943-n	wafelijzer
n04548280	eng-30-04548280-n	wandklok
n04548362	eng-30-04548362-n	portefeuille, portemonnee
n04550184	eng-30-04550184-n	kledingkast, kleerkast, kast
n04552348	eng-30-04552348-n	gevechtsvliegtuig
n04553703	eng-30-04553703-n	
n04554684	eng-30-04554684-n	wasmachine
n04557648	eng-30-04557648-n	bedkruik, bidon, kruik, warmwaterzak
n04560804	eng-30-04560804-n	
n04562935	eng-30-04562935-n	pompstation, waterstation, watertoren
n04579145	eng-30-04579145-n	
n04579432	eng-30-04579432-n	fluittoon
n04584207	eng-30-04584207-n	pruik
n04589890	eng-30-04589890-n	
n04590129	eng-30-04590129-n	
n04591157	eng-30-04591157-n	
n04591713	eng-30-04591713-n	
n04592741	eng-30-04592741-n	vleugel
n04596742	eng-30-04596742-n	wokken, wadjan, wadjang, wok
n04597913	eng-30-04597913-n	
n04599235	eng-30-04599235-n	wol, schapenvacht, schapenwol, schapewol
n04604644	eng-30-04604644-n	
n04606251	eng-30-04606251-n	
n04612504	eng-30-04612504-n	
n04613696	eng-30-04613696-n	
n06359193	eng-30-06359193-n	website
n06596364	eng-30-06596364-n	
n06785654	eng-30-06785654-n	kruiswoordpuzzel, kruiswoordraadsel
n06794110	eng-30-06794110-n	straatnaambordje
n06874185	eng-30-06874185-n	stoplicht, verkeerslicht, stopsein, stopsignaal
n07248320	eng-30-07248320-n	boekomslag, flap
n07565083	eng-30-07565083-n	
n07579787	eng-30-07579787-n	
n07583066	eng-30-07583066-n	
n07584110	eng-30-07584110-n	consommé
n07590611	eng-30-07590611-n	
n07613480	eng-30-07613480-n	puddingtaart
n07614500	eng-30-07614500-n	roomijs, ijs, ijsco, ijsje
n07615774	eng-30-07615774-n	ijslolly, lolly
n07684084	eng-30-07684084-n	
n07693725	eng-30-07693725-n	bagel
n07695742	eng-30-07695742-n	zoute krakeling, pretzel
n07697313	eng-30-07697313-n	kaasburger, cheeseburger
n07697537	eng-30-07697537-n	
n07711569	eng-30-07711569-n	
n07714571	eng-30-07714571-n	
n07714990	eng-30-07714990-n	broccoli
n07715103	eng-30-07715103-n	bloemkool
n07716358	eng-30-07716358-n	
n07716906	eng-30-07716906-n	
n07717410	eng-30-07717410-n	
n07717556	eng-30-07717556-n	
n07718472	eng-30-07718472-n	komkommer
n07718747	eng-30-07718747-n	artisjok
n07720875	eng-30-07720875-n	
n07730033	eng-30-07730033-n	kardoen
n07734744	eng-30-07734744-n	paddenstoel, op het puntje van zijn tong, zwam
n07742313	eng-30-07742313-n	
n07745940	eng-30-07745940-n	
n07747607	eng-30-07747607-n	appelsienenboom, sinaasappelboom, appelsien, sinaasappel
n07749582	eng-30-07749582-n	citroen
n07753113	eng-30-07753113-n	
n07753275	eng-30-07753275-n	ananas
n07753592	eng-30-07753592-n	bananengeel
n07754684	eng-30-07754684-n	
n07760859	eng-30-07760859-n	
n07768694	eng-30-07768694-n	
n07802026	eng-30-07802026-n	hooi
n07831146	eng-30-07831146-n	
n07836838	eng-30-07836838-n	
n07860988	eng-30-07860988-n	deeg
n07871810	eng-30-07871810-n	gehakt, gehaktbrood
n07873807	eng-30-07873807-n	pizza
n07875152	eng-30-07875152-n	
n07880968	eng-30-07880968-n	
n07892512	eng-30-07892512-n	rode wijn
n07920052	eng-30-07920052-n	espresso, espresso(-koffie), espressokoffie
n07930864	eng-30-07930864-n	
n07932039	eng-30-07932039-n	Advocaat, advokaat
n09193705	eng-30-09193705-n	bergtop, alp
n09229709	eng-30-09229709-n	bel
n09246464	eng-30-09246464-n	klif, klip
n09256479	eng-30-09256479-n	koraalbank, koraalrif, puinwal
n09288635	eng-30-09288635-n	geizer, geiser
n09332890	eng-30-09332890-n	Lakeside, oever, meeroever
n09399592	eng-30-09399592-n	hoek, kaap, landpunt
n09421951	eng-30-09421951-n	zandbank
n09428293	eng-30-09428293-n	zeekust, zeekant, kustlijn, kust
n09468604	eng-30-09468604-n	dal, vallei
n09472597	eng-30-09472597-n	vulkaan, vuurberg
n09835506	eng-30-09835506-n	
n10148035	eng-30-10148035-n	bruidegom
n10565667	eng-30-10565667-n	
n11879895	eng-30-11879895-n	koolzaad, raapzaad
n11939491	eng-30-11939491-n	margriet, Margriet, Madelief, madeliefje
n12057211	eng-30-12057211-n	
n12144580	eng-30-12144580-n	
n12267677	eng-30-12267677-n	eikel
n12620546	eng-30-12620546-n	bottel, rozebottel, rozenbottel
n12768682	eng-30-12768682-n	
n12985857	eng-30-12985857-n	
n12998815	eng-30-12998815-n	plaatzwam
n13037406	eng-30-13037406-n	
n13040303	eng-30-13040303-n	
n13044778	eng-30-13044778-n	
n13052670	eng-30-13052670-n	
n13054560	eng-30-13054560-n	
n13133613	eng-30-13133613-n	aar, korenaar
n15075141	eng-30-15075141-n	pleepapier, toiletpapier, wc-papier
