key	wordnet_id	synonyms	provenance
n02814860	eng-30-02814860-n	kustlicht, lichtbaken, vuurbaak, vuurbaken, vuurtoren	odwn
n02815834	eng-30-02815834-n	bekerglas	odwn
n02817516	eng-30-02817516-n	kolbak, beremuts, berenmuts, huzarenmuts	odwn
n02823428	eng-30-02823428-n	bierfles, pijpje	odwn
n02823750	eng-30-02823750-n	bierglas	odwn
n02825657	eng-30-02825657-n	bell cote, bell kinderbed	google_translate
n02834397	eng-30-02834397-n	borstje, salopette	odwn
n02835271	eng-30-02835271-n	tandem	odwn
n02837789	eng-30-02837789-n	bikini	odwn
n02840245	eng-30-02840245-n	verzamelband	odwn
n02841315	eng-30-02841315-n	toneelkijker, verrekijker, binocle, binoculair, kijker, veldkijker	odwn
n02843684	eng-30-02843684-n	columbarium, nestkastje, vogelhuisje, vogelkastje	odwn
n02859443	eng-30-02859443-n	botenhuis	odwn
n02860847	eng-30-02860847-n	bob, bobslee	odwn
n02865351	eng-30-02865351-n	bolo tie, bolo, bola tie, bola	google_translate
n02869837	eng-30-02869837-n	kap, luifelhoed	google_translate
n02870880	eng-30-02870880-n	boekenkast	odwn
n02871525	eng-30-02871525-n	boekenwinkel, boekhandel, boekwinkel	odwn
n02877765	eng-30-02877765-n	flesdop	google_translate
n02879718	eng-30-02879718-n	boog	google_translate
n02883205	eng-30-02883205-n	strikje, vlinderdas	odwn
n02892201	eng-30-02892201-n	gedenksteen, plaket, plateau	odwn
n02892767	eng-30-02892767-n	b.h., beha, bh, bustehouder	odwn
n02894605	eng-30-02894605-n	krib, steiger, zeewering, zeedijk, breekwater, havendam, golfbreker, landhoofd, paalhoofd, pier, zeebreker, zeehoofd	odwn
n02895154	eng-30-02895154-n	borstplaat, borstschild	odwn
n02906734	eng-30-02906734-n	bezem	odwn
n02909870	eng-30-02909870-n	emmer	odwn
n02910353	eng-30-02910353-n	gesp	odwn
n02916936	eng-30-02916936-n	kogelvrij vest	google_translate
n02917067	eng-30-02917067-n	bullet train, kogel	google_translate
n02927161	eng-30-02927161-n	beenhouwerij, charcuterie, slagerij	odwn
n02930766	eng-30-02930766-n	taxi	odwn
n02939185	eng-30-02939185-n	kookketel, ketel	odwn
n02948072	eng-30-02948072-n	kaars	odwn
n02950826	eng-30-02950826-n	kanon	google_translate
n02951358	eng-30-02951358-n	kano	odwn
n02951585	eng-30-02951585-n	blikopener	odwn
n02963159	eng-30-02963159-n	vest	odwn
n02965783	eng-30-02965783-n	autospiegel	google_translate
n02966193	eng-30-02966193-n	carrousel, draaimolen, mallemolen, paardenmolen, zweef, zweefmolen, zwiermolen	odwn
n02966687	eng-30-02966687-n	timmerman kit, tool kit	google_translate
n02971356	eng-30-02971356-n	karton	google_translate
n02974003	eng-30-02974003-n	auto wiel	google_translate
n02977058	eng-30-02977058-n	bankautomaat, geldautomaat, gelduitgifteautomaat, giromaat	odwn
n02978881	eng-30-02978881-n	cassette	odwn
n02979186	eng-30-02979186-n	cassettespeler	google_translate
n02980441	eng-30-02980441-n	fort, burcht, burg, kasteel, slot, steen	odwn
n02981792	eng-30-02981792-n	katamaran	odwn
n02988304	eng-30-02988304-n	C.D.-speler, cd-speler, compact-discspeler	odwn
n02992211	eng-30-02992211-n	violoncello, cello	odwn
n02992529	eng-30-02992529-n	telefoon, mobiele telefoon	odwn
n02999410	eng-30-02999410-n	ketting, keten	odwn
n03000134	eng-30-03000134-n	chainlinkomheining	google_translate
n03000247	eng-30-03000247-n	maliënkolder	odwn
n03000684	eng-30-03000684-n	boomzaag, motorkettingzaag, motorzaag, kettingzaag	odwn
n03014705	eng-30-03014705-n	kist	odwn
n03016953	eng-30-03016953-n	chiffonier, commode	google_translate
n03017168	eng-30-03017168-n	klok	odwn
n03018349	eng-30-03018349-n	porseleinkast	odwn
n03026506	eng-30-03026506-n	kerstsok	google_translate
n03028079	eng-30-03028079-n	godshuis, kerk, kerkgebouw	odwn
n03032252	eng-30-03032252-n	bios, bioscoop, cinema, filmtheater	odwn
n03041632	eng-30-03041632-n	hakmes, mes	odwn
n03042490	eng-30-03042490-n	klippenwoning	google_translate
n03045698	eng-30-03045698-n	mantel	google_translate
n03047690	eng-30-03047690-n	holsblok, klomp, klompschoen, schoenklomp	odwn
n03062245	eng-30-03062245-n	cocktailshaker	google_translate
n03063599	eng-30-03063599-n	koffiemok	google_translate
n03063689	eng-30-03063689-n	koffiepot	odwn
n03065424	eng-30-03065424-n	schroef, helix, krul, schroeflijn, spiraal, spiraallijn	odwn
n03075370	eng-30-03075370-n	cijferslot, combinatieslot, letterslot, nummerslot	odwn
n03085013	eng-30-03085013-n	toetsenbord, keypad	google_translate
n03089624	eng-30-03089624-n	banketbakkerij, snoepwinkel	odwn
n03095699	eng-30-03095699-n	containerschip	odwn
n03100240	eng-30-03100240-n	cabrio, cabriolet	odwn
n03109150	eng-30-03109150-n	kurkentrekker, kurketrekker, trekker	odwn
n03110669	eng-30-03110669-n	cornet, kornet, trompet	odwn
n03124043	eng-30-03124043-n	cowboylaars	google_translate
n03124170	eng-30-03124170-n	tien-gallon_hat	odwn
n03125729	eng-30-03125729-n	bakermat, wieg	odwn
n03126707	eng-30-03126707-n	hefkraan, hijskraan, kraan	odwn
n03127747	eng-30-03127747-n	bromfietshelm, motorhelm, valhelm	odwn
n03127925	eng-30-03127925-n	krat	odwn
n03131574	eng-30-03131574-n	kinderbed, wieg	odwn
n03133878	eng-30-03133878-n	crock Pot	google_translate
n03134739	eng-30-03134739-n	croquet bal	google_translate
n03141823	eng-30-03141823-n	kruk	google_translate
n03146219	eng-30-03146219-n	harnas, kuras	odwn
n03160309	eng-30-03160309-n	stuwdam, dam, dijk, waterdam, waterkering	odwn
n03179701	eng-30-03179701-n	lessenaar, schrijftafel, bureau	odwn
n03180011	eng-30-03180011-n	desktop computer	google_translate
n03187595	eng-30-03187595-n	draaitoestel	odwn
n03188531	eng-30-03188531-n	luier	odwn
n03196217	eng-30-03196217-n	digitale klok	google_translate
n03197337	eng-30-03197337-n	digitaal horloge	google_translate
n03201208	eng-30-03201208-n	eettafel, boord	google_translate
n03207743	eng-30-03207743-n	schotelvod, schoteldoek, vaatdoek, vod, wisdoek	odwn
n03207941	eng-30-03207941-n	afwasautomaat, vaatwasser, afwasmachine, vaatwasmachine	odwn
n03208938	eng-30-03208938-n	schijfrem	odwn
n03216828	eng-30-03216828-n	dok	odwn
n03218198	eng-30-03218198-n	hondenslee, hondenslee, hondenslee	google_translate
n03220513	eng-30-03220513-n	koepel	google_translate
n03223299	eng-30-03223299-n	deurmat, vloermat, voetmat	odwn
n03240683	eng-30-03240683-n	boorplatform, offshore-rig	google_translate
n03249569	eng-30-03249569-n	drum, kalfsvel, trom, trommel	odwn
n03250847	eng-30-03250847-n	drumstok, drumstokje, trommelstok	odwn
n03255030	eng-30-03255030-n	halter	google_translate
n03259280	eng-30-03259280-n	nederlandse oven	google_translate
n03271574	eng-30-03271574-n	elektrische ventilator, blazer	google_translate
n03272010	eng-30-03272010-n	elektrische gitaar	odwn
n03272562	eng-30-03272562-n	elektrische locomotief	odwn
n03290653	eng-30-03290653-n	entertainment center	google_translate
n03291819	eng-30-03291819-n	couvert, briefomslag, envelop, enveloppe, omslag	odwn
n03297495	eng-30-03297495-n	espresso-apparaat	google_translate
n03314780	eng-30-03314780-n	gezichtspoeder	google_translate
n03325584	eng-30-03325584-n	veren boa, boa	google_translate
n03337140	eng-30-03337140-n	archiefkast	odwn
n03344393	eng-30-03344393-n	fireboat	google_translate
n03345487	eng-30-03345487-n	brandweerauto, brandweerwagen, brandspuit, waterspuit	odwn
n03347037	eng-30-03347037-n	brandscherm, fireguard	google_translate
n03355925	eng-30-03355925-n	vlaggenstok, vlaggestok	odwn
n03372029	eng-30-03372029-n	dwarsfluit, fluit	odwn
n03376595	eng-30-03376595-n	klapstoel	odwn
n03379051	eng-30-03379051-n	voetbal helm	google_translate
n03384352	eng-30-03384352-n	heftruck, vorkheftruck	odwn
n03388043	eng-30-03388043-n	fontein, fonteintje	odwn
n03388183	eng-30-03388183-n	vulpen	odwn
n03388549	eng-30-03388549-n	hemelbed	odwn
n03393912	eng-30-03393912-n	goederenwagen, goederenwagon	odwn
n03394916	eng-30-03394916-n	hoorn, horen, waldhoorn	odwn
n03400231	eng-30-03400231-n	braadpan, bakpan, hapjespan, koekenpan	odwn
n03404251	eng-30-03404251-n	bontjas, bontmantel	odwn
n03417042	eng-30-03417042-n	vuilniswagen	odwn
n03424325	eng-30-03424325-n	gasmasker	odwn
n03425413	eng-30-03425413-n	benzinepomp	odwn
n03443371	eng-30-03443371-n	beker	google_translate
n03444034	eng-30-03444034-n	skelter	google_translate
n03445777	eng-30-03445777-n	golfbal	google_translate
n03445924	eng-30-03445924-n	golfwagentje, golfwagentje	google_translate
n03447447	eng-30-03447447-n	gondel	odwn
n03447721	eng-30-03447721-n	tamtam	odwn
n03450230	eng-30-03450230-n	gewaad	odwn
n03452741	eng-30-03452741-n	vleugelpiano, vleugel	odwn
n03457902	eng-30-03457902-n	broeikas, kas, serre	odwn
n03459775	eng-30-03459775-n	traliewerk, Radiatorrooster	google_translate
n03461385	eng-30-03461385-n	kruidenier	odwn
n03467068	eng-30-03467068-n	guillotine	odwn
n03476684	eng-30-03476684-n	haarspeld	google_translate
n03476991	eng-30-03476991-n	haarspray	google_translate
n03478589	eng-30-03478589-n	half spoor	google_translate
n03481172	eng-30-03481172-n	vuisthamer, vuist, hamer	odwn
n03482405	eng-30-03482405-n	korf, sluitmand, pakmand	odwn
n03483316	eng-30-03483316-n	föhn, haardroger	odwn
n03485407	eng-30-03485407-n	Handcomputer, Draagbare microcomputer	google_translate
n03485794	eng-30-03485794-n	zardock, zakdoek	odwn
n03492542	eng-30-03492542-n	vaste schijf, hard disk, harddisk	odwn
n03494278	eng-30-03494278-n	harmonica, mondharmonica, mondharmonika, mondorgel	odwn
n03495258	eng-30-03495258-n	harp	odwn
n03496892	eng-30-03496892-n	oogster, maaimachine	google_translate
n03498962	eng-30-03498962-n	bijl, hakbijl	odwn
n03527444	eng-30-03527444-n	holster, revolvertas	odwn
n03529860	eng-30-03529860-n	thuisbioscoop, thuisbioscoop	google_translate
n03530642	eng-30-03530642-n	honingraat	google_translate
n03532672	eng-30-03532672-n	haak, haakje	odwn
n03534580	eng-30-03534580-n	crinoline, hoepelrok	odwn
n03535780	eng-30-03535780-n	horizontale balk, rekstok	google_translate
n03538406	eng-30-03538406-n	paardenkar, paardenkar	google_translate
n03544143	eng-30-03544143-n	zandloper	odwn
n03584254	eng-30-03584254-n	iPod	odwn
n03584829	eng-30-03584829-n	strijkijzer	odwn
n03590841	eng-30-03590841-n	dwaallicht	google_translate
n03594734	eng-30-03594734-n	jeansbroek, blue jeans, jeans, spijkerbroek	odwn
n03594945	eng-30-03594945-n	land Rover	odwn
n03595614	eng-30-03595614-n	T-shirt, t-shirt	odwn
n03598930	eng-30-03598930-n	puzzel, legpuzzel	odwn
n03599486	eng-30-03599486-n	betjah, fietstaxi, riksja	odwn
n03602883	eng-30-03602883-n	stuurknuppel, bedieningshendel	odwn
n03617480	eng-30-03617480-n	kimono	odwn
n03623198	eng-30-03623198-n	kniebeschermer	google_translate
n03627232	eng-30-03627232-n	knoop	google_translate
n03630383	eng-30-03630383-n	Lab jas, laboratoriumjas	google_translate
n03633091	eng-30-03633091-n	sauslepel, soeplepel, juslepel, opscheplepel	odwn
n03637318	eng-30-03637318-n	lampekap, lampenkap	odwn
n03642806	eng-30-03642806-n	laptop, notebook, schootcomputer	odwn
n03649909	eng-30-03649909-n	maaier, grasmaaimachine, grasmaaier	odwn
n03657121	eng-30-03657121-n	lensklep, lenskap, oogschelp	odwn
n03658185	eng-30-03658185-n	briefopener, papiermes, vouwbeen	odwn
n03661043	eng-30-03661043-n	boekerij, bibliotheek	odwn
n03662601	eng-30-03662601-n	reddingsboot, vlot	odwn
n03666591	eng-30-03666591-n	vuurtje, aansteker	odwn
n03670208	eng-30-03670208-n	limo, limousin, limousine	odwn
n03673027	eng-30-03673027-n	voering, oceaanstomer	google_translate
n03676483	eng-30-03676483-n	lippenrood, lippenstift	odwn
n03680355	eng-30-03680355-n	leegloper	odwn
n03690938	eng-30-03690938-n	lotion	odwn
n03691459	eng-30-03691459-n	loudspeaker, luidspreker, speaker	odwn
n03692522	eng-30-03692522-n	loep	odwn
n03697007	eng-30-03697007-n	houtzagerij, zagerij	odwn
n03706229	eng-30-03706229-n	magnetisch kompas	google_translate
n03709823	eng-30-03709823-n	postzak	odwn
n03710193	eng-30-03710193-n	brievenbus	odwn
n03710637	eng-30-03710637-n	maillot	google_translate
n03710721	eng-30-03710721-n	maillot, tank suit	google_translate
n03717622	eng-30-03717622-n	putdeksel, riooldeksel	odwn
n03720891	eng-30-03720891-n	maraca	google_translate
n03721384	eng-30-03721384-n	marimba, xylofoon	odwn
n03724870	eng-30-03724870-n	masker, mom, mombakkes	odwn
n03729826	eng-30-03729826-n	luciferhoutje	google_translate
n03733131	eng-30-03733131-n	meiboom	odwn
n03733281	eng-30-03733281-n	doolhof, dwaaltuin, gangenstelsel, labyrint	odwn
n03733805	eng-30-03733805-n	maatbeker	odwn
n03742115	eng-30-03742115-n	medicijnkastje, medicijnkastje	google_translate
n03743016	eng-30-03743016-n	megaliet, megalitische structuur	google_translate
n03759954	eng-30-03759954-n	Mike, microfoon	odwn
n03761084	eng-30-03761084-n	magnetron	odwn
n03763968	eng-30-03763968-n	militair uniform	google_translate
n03764736	eng-30-03764736-n	melkkan	google_translate
n03769881	eng-30-03769881-n	busje	odwn
n03770439	eng-30-03770439-n	minirok	odwn
n03770679	eng-30-03770679-n	busje	google_translate
n03773504	eng-30-03773504-n	raket	google_translate
n03775071	eng-30-03775071-n	want	odwn
n03775546	eng-30-03775546-n	mengkom	google_translate
n03776460	eng-30-03776460-n	stacaravan	odwn
n03777568	eng-30-03777568-n	T-Ford	odwn
n03777754	eng-30-03777754-n	modem	odwn
n03781244	eng-30-03781244-n	abdij, communauteit, communiteit, convent, klooster, kloostergemeenschap, monnikenklooster	odwn
n03782006	eng-30-03782006-n	monitor	google_translate
n03785016	eng-30-03785016-n	bromfiets, brommer, plof	odwn
n03786901	eng-30-03786901-n	mortier, vijzel	odwn
n03787032	eng-30-03787032-n	baret	google_translate
n03788195	eng-30-03788195-n	mesigit, missigit, moskee	odwn
n03788365	eng-30-03788365-n	klamboe, muggengordijn, muggennet	odwn
n03791053	eng-30-03791053-n	scooter	odwn
n03792782	eng-30-03792782-n	BMX	odwn
n03792972	eng-30-03792972-n	berg tent	google_translate
n03793489	eng-30-03793489-n	computermuis, muis	odwn
n03794056	eng-30-03794056-n	muizeval	odwn
n03796401	eng-30-03796401-n	verhuisauto, verhuiswagen	odwn
n03803284	eng-30-03803284-n	snuit	google_translate
n03804744	eng-30-03804744-n	nagel, spijker	odwn
n03814639	eng-30-03814639-n	nek brace	google_translate
n03814906	eng-30-03814906-n	halsketting, halssieraad, halssnoer, ketting	odwn
n03825788	eng-30-03825788-n	tepel	google_translate
n03832673	eng-30-03832673-n	notitieboekje, notebook computer	google_translate
n03837869	eng-30-03837869-n	obelisk	odwn
n03838899	eng-30-03838899-n	hobo	odwn
n03840681	eng-30-03840681-n	okarina, ocarina	odwn
n03841143	eng-30-03841143-n	hodometer, kilometerteller, wegmeter	odwn
n03843555	eng-30-03843555-n	oliefilter	odwn
n03854065	eng-30-03854065-n	orgel, orgaan	odwn
n03857828	eng-30-03857828-n	oscilloscoop	odwn
n03866082	eng-30-03866082-n	overrok	google_translate
n03868242	eng-30-03868242-n	ossekar, ossenkar, ossenwagen, ossewagen	odwn
n03868863	eng-30-03868863-n	zuurstofmasker	odwn
n03871628	eng-30-03871628-n	pak, pakje	odwn
n03873416	eng-30-03873416-n	paddel, bat, batje	odwn
n03874293	eng-30-03874293-n	scheprad, scheprad	google_translate
n03874599	eng-30-03874599-n	hangslot	odwn
n03876231	eng-30-03876231-n	penseel, verfkwast	odwn
n03877472	eng-30-03877472-n	pyjama	odwn
n03877845	eng-30-03877845-n	paleis	odwn
n03884397	eng-30-03884397-n	panfluit, pandean pipe, syrinx	google_translate
n03887697	eng-30-03887697-n	keukenrol	odwn
n03888257	eng-30-03888257-n	parachute, springscherm, valscherm	odwn
n03888605	eng-30-03888605-n	brug	odwn
n03891251	eng-30-03891251-n	bank in het park	google_translate
n03891332	eng-30-03891332-n	parkeermeter	odwn
n03895866	eng-30-03895866-n	equipage	odwn
n03899768	eng-30-03899768-n	terras	odwn
n03902125	eng-30-03902125-n	munttelefoon	odwn
n03903868	eng-30-03903868-n	plint, voetstuk, sokkel	odwn
n03908618	eng-30-03908618-n	etui, pennenzak	odwn
n03908714	eng-30-03908714-n	slijper	odwn
n03916031	eng-30-03916031-n	essence, parfum	odwn
n03920288	eng-30-03920288-n	petrischaal	odwn
n03924679	eng-30-03924679-n	fotokopieerapparaat	odwn
n03929660	eng-30-03929660-n	plectrum	odwn
n03929855	eng-30-03929855-n	pickelhaube	google_translate
n03930313	eng-30-03930313-n	paalwerk, palissade	odwn
n03930630	eng-30-03930630-n	oppakken, pick-up truck	google_translate
n03933933	eng-30-03933933-n	strekdam	odwn
n03935335	eng-30-03935335-n	spaarvarken, spaarpot	odwn
n03937543	eng-30-03937543-n	pillenfles	google_translate
n03938244	eng-30-03938244-n	kussen, peluw, oorkussen, hoofdkussen	odwn
n03942813	eng-30-03942813-n	tafeltennis balletje	google_translate
n03944341	eng-30-03944341-n	pinwheel	google_translate
n03947888	eng-30-03947888-n	piraat, piratenschip	google_translate
n03950228	eng-30-03950228-n	lampetkan, kan	odwn
n03954731	eng-30-03954731-n	vlak, plane timmerman, houtbewerking plane	google_translate
n03956157	eng-30-03956157-n	planetarium	odwn
n03958227	eng-30-03958227-n	plastieken zak	google_translate
n03961711	eng-30-03961711-n	bordenrek	google_translate
n03967562	eng-30-03967562-n	ploeg	odwn
n03970156	eng-30-03970156-n	plunjer, loodgieter helper	google_translate
n03976467	eng-30-03976467-n	polaroidcamera	odwn
n03976657	eng-30-03976657-n	paal, boom, polsstok, staak	odwn
n03977966	eng-30-03977966-n	overvalwagen	odwn
n03980874	eng-30-03980874-n	poncho	google_translate
n03982430	eng-30-03982430-n	biljart, tafelbiljart	odwn
n03983396	eng-30-03983396-n	pop fles, sodafles	google_translate
n03991062	eng-30-03991062-n	bloempot	odwn
n03992509	eng-30-03992509-n	draaischijf, pottenbakkersschijf, pottenbakkerswiel	odwn
n03995372	eng-30-03995372-n	boormachine	google_translate
n03998194	eng-30-03998194-n	gebedskleed	odwn
n04004767	eng-30-04004767-n	printer	odwn
n04005630	eng-30-04005630-n	penitentiaire inrichting, huis van bewaring, gevangenis	odwn
n04008634	eng-30-04008634-n	raket, projectiel	odwn
n04009552	eng-30-04009552-n	projectieapparaat, projectietoestel, projector	odwn
n04019541	eng-30-04019541-n	puck	odwn
n04023962	eng-30-04023962-n	bokszak, stootzak	odwn
n04026417	eng-30-04026417-n	beurs, geldbuidel, geldtas, geldzak, knip, portemonnee, zak	odwn
n04033901	eng-30-04033901-n	schacht, ganzenveer	google_translate
n04033995	eng-30-04033995-n	quilt, poederdons	odwn
n04037443	eng-30-04037443-n	racefiets	odwn
n04039381	eng-30-04039381-n	raket, racket	odwn
n04040759	eng-30-04040759-n	radiator, verwarmingselement	odwn
n04041544	eng-30-04041544-n	radio	odwn
n04044716	eng-30-04044716-n	Radio Telescoop, radio reflector	google_translate
n04049303	eng-30-04049303-n	regenvat	google_translate
n04065272	eng-30-04065272-n	recreatie voertuig, RV, R.V.	google_translate
n04067472	eng-30-04067472-n	haspel	google_translate
n04069434	eng-30-04069434-n	reflex camera	google_translate
n04070727	eng-30-04070727-n	ijskast, koelkast	odwn
n04074963	eng-30-04074963-n	afgelegen, onwaarschijnlijk, afstandsbesturing, afstandsbediening	odwn
n04081281	eng-30-04081281-n	eetcafe, eetgelegenheid, eethuis, eettent, restaurant	odwn
n04086273	eng-30-04086273-n	revolver	odwn
n04090263	eng-30-04090263-n	karabijn, geweer, proppenschieter, schietgeweer, schietijzer, spuit	odwn
n04099969	eng-30-04099969-n	schommelstoel	odwn
n04111531	eng-30-04111531-n	rotisserie	google_translate
n04116512	eng-30-04116512-n	gom, gum, stuf, vlakgom	odwn
n04118538	eng-30-04118538-n	rugbybal	odwn
n04118776	eng-30-04118776-n	maat, maatlat, meetlat, scepter	odwn
n04120489	eng-30-04120489-n	ren schoen	google_translate
n04125021	eng-30-04125021-n	veilig	google_translate
n04127249	eng-30-04127249-n	sluitspeld, toespeld, veiligheidsspeld	odwn
n04131690	eng-30-04131690-n	Zout schudder, Zout schudder	google_translate
n04133789	eng-30-04133789-n	Jezusnikes, sandaal, zool	odwn
n04136333	eng-30-04136333-n	sarong	odwn
n04141076	eng-30-04141076-n	sax, saxofoon	odwn
n04141327	eng-30-04141327-n	schede	odwn
n04141975	eng-30-04141975-n	schaal, weegschaal, weegtoestel	odwn
n04146614	eng-30-04146614-n	schoolbus	odwn
n04147183	eng-30-04147183-n	schoener	odwn
n04149813	eng-30-04149813-n	scorebord, uitslagenbord	odwn
n04152593	eng-30-04152593-n	televisiescherm	odwn
n04153751	eng-30-04153751-n	schroef	odwn
n04154565	eng-30-04154565-n	schroevedraaier, schroevendraaier	odwn
n04162706	eng-30-04162706-n	gordel, veiligheidsgordel	odwn
n04179913	eng-30-04179913-n	naaimachine	odwn
n04192698	eng-30-04192698-n	bescherming, schild	odwn
n04200800	eng-30-04200800-n	schoenenwinkel, schoenenzaak	odwn
n04201297	eng-30-04201297-n	shoji	google_translate
n04204238	eng-30-04204238-n	boodschappenmandje	odwn
n04204347	eng-30-04204347-n	winkelwagen	odwn
n04208210	eng-30-04208210-n	schop, schep, schepje	odwn
n04209133	eng-30-04209133-n	douchekop	google_translate
n04209239	eng-30-04209239-n	douchegordijn	odwn
n04228054	eng-30-04228054-n	ski	odwn
n04229816	eng-30-04229816-n	ski masker	google_translate
n04235860	eng-30-04235860-n	slaapzak	odwn
n04238763	eng-30-04238763-n	rekenliniaal, Slipstick	google_translate
n04239074	eng-30-04239074-n	roldeur, schuifdeur	odwn
n04243546	eng-30-04243546-n	eenarmige bandiet, gokautomaat, gokkast	odwn
n04251144	eng-30-04251144-n	snorkel	google_translate
n04252077	eng-30-04252077-n	sneeuwscooter	odwn
n04252225	eng-30-04252225-n	sneeuwploeg, sneeuwruimer, sneeuwschuiver	odwn
n04254120	eng-30-04254120-n	zeeppomp	google_translate
n04254680	eng-30-04254680-n	voetbal	google_translate
n04254777	eng-30-04254777-n	sok	odwn
n04258138	eng-30-04258138-n	zonnecollector	odwn
n04259630	eng-30-04259630-n	sombrero	google_translate
n04263257	eng-30-04263257-n	soepkom	odwn
n04264628	eng-30-04264628-n	spatiebalk, spatietoets	odwn
n04265275	eng-30-04265275-n	kachel	odwn
n04266014	eng-30-04266014-n	ruimtependel, ruimteveer, shuttle, space-shuttle	odwn
n04270147	eng-30-04270147-n	spatel	google_translate
n04273569	eng-30-04273569-n	speedboot	google_translate
n04275548	eng-30-04275548-n	spinnenweb, spinnenweb	google_translate
n04277352	eng-30-04277352-n	spil	google_translate
n04285008	eng-30-04285008-n	sportwagen, sportauto	google_translate
n04286575	eng-30-04286575-n	straler	odwn
n04296562	eng-30-04296562-n	podium, verhoog	odwn
n04310018	eng-30-04310018-n	stoomlocomotief	odwn
n04311004	eng-30-04311004-n	stalen boogbrug	google_translate
n04311174	eng-30-04311174-n	staaltrommel	google_translate
n04317175	eng-30-04317175-n	stethoscoop	odwn
n04325704	eng-30-04325704-n	stola	odwn
n04326547	eng-30-04326547-n	stenen muur	google_translate
n04328186	eng-30-04328186-n	stopwatch, stopwatch	google_translate
n04330267	eng-30-04330267-n	haard, kachel, kacheltje, verwarmingstoestel	odwn
n04332243	eng-30-04332243-n	vergiet, zeef	odwn
n04335435	eng-30-04335435-n	mijnwagen, tram	odwn
n04336792	eng-30-04336792-n	draagbaar, baar, brancard	odwn
n04344873	eng-30-04344873-n	slaapbank, dag bed	google_translate
n04346328	eng-30-04346328-n	stoepa	odwn
n04347754	eng-30-04347754-n	U-boot, duikboot, onderzeeboot, onderzeeër	odwn
n04350905	eng-30-04350905-n	kleur, kostuum, zaak, pak	odwn
n04355338	eng-30-04355338-n	zonnewijzer	odwn
n04355933	eng-30-04355933-n	zonnebril	odwn
n04356056	eng-30-04356056-n	zonnebril	odwn
n04357314	eng-30-04357314-n	zonnebrandcrème	odwn
n04366367	eng-30-04366367-n	hangbrug, kettingbrug	odwn
n04367480	eng-30-04367480-n	zwabber	odwn
n04370456	eng-30-04370456-n	sweater	odwn
n04371430	eng-30-04371430-n	zwembroek	odwn
n04371774	eng-30-04371774-n	schommel	google_translate
n04372370	eng-30-04372370-n	contact, schakelaar, schakelknop	odwn
n04376876	eng-30-04376876-n	injectiespuit, injectiespuitje, spuit	odwn
n04380533	eng-30-04380533-n	tafellamp	odwn
n04389033	eng-30-04389033-n	gevechtswagen, tank	odwn
n04392985	eng-30-04392985-n	cassettespeler	google_translate
n04398044	eng-30-04398044-n	theepot	odwn
n04399382	eng-30-04399382-n	knuffelbeer, teddybeer	odwn
n04404412	eng-30-04404412-n	televisie, televisiesysteem	google_translate
n04409515	eng-30-04409515-n	tennisbal	odwn
n04417672	eng-30-04417672-n	strobedekking, strodak	odwn
n04418357	eng-30-04418357-n	doek, scherm, toneelgordijn, toneelscherm	odwn
n04423845	eng-30-04423845-n	kous, vingerhoed	odwn
n04428191	eng-30-04428191-n	dorsmachine, zeevos, dorsmachine	google_translate
n04429376	eng-30-04429376-n	troon	google_translate
n04435653	eng-30-04435653-n	tegel dak	google_translate
n04442312	eng-30-04442312-n	broodrooster, tosti-apparaat, tostiapparaat	odwn
n04443257	eng-30-04443257-n	sigarenmagazijn, sigarenwinkel, tabakswinkel	odwn
n04447861	eng-30-04447861-n	wc-bril	odwn
n04456115	eng-30-04456115-n	toorts	google_translate
n04458633	eng-30-04458633-n	totempaal	odwn
n04461696	eng-30-04461696-n	takelwagen	odwn
n04462240	eng-30-04462240-n	speelgoedwinkel	odwn
n04465501	eng-30-04465501-n	motortrekker, tractor, trekker, wieltrekker	odwn
n04467665	eng-30-04467665-n	vrachtwagen met aanhanger, traktor aanhanger, trucking tuig, tuig, vrachtwagencombinatie, semi	google_translate
n04476259	eng-30-04476259-n	serveerblad, blad, dienblad, plateau, presenteerblad, schenkblad, theeblad	odwn
n04479046	eng-30-04479046-n	lange jas	odwn
n04482393	eng-30-04482393-n	driewieler, kinderfiets	odwn
n04483307	eng-30-04483307-n	trimaran	odwn
n04485082	eng-30-04485082-n	statief	odwn
n04486054	eng-30-04486054-n	ereboog, erepoort, triomfboog, zegeboog	odwn
n04487081	eng-30-04487081-n	trolleybus, trolley coach, ongebaande trolley	google_translate
n04487394	eng-30-04487394-n	bazuin, schuiftrombone, schuiftrompet, trombone	odwn
n04493381	eng-30-04493381-n	tobbe, wastobbe	odwn
n04501370	eng-30-04501370-n	draaihek, klaphek, tourniquet	odwn
n04505470	eng-30-04505470-n	schrijfmachinetoetsenbord	google_translate
n04507155	eng-30-04507155-n	paraplu	google_translate
n04509417	eng-30-04509417-n	eenwieler	odwn
n04515003	eng-30-04515003-n	rechtop, piano	google_translate
n04517823	eng-30-04517823-n	stofzuigen, stofzuiger	odwn
n04522168	eng-30-04522168-n	bloemenvaas, pul, vaas	odwn
n04523525	eng-30-04523525-n	welving, gewelf	odwn
n04525038	eng-30-04525038-n	fluweel, manchester, velvet	odwn
n04525305	eng-30-04525305-n	verkoopautomaat, automaat	odwn
n04532106	eng-30-04532106-n	gewaad, misgewaad, mishemd, miskleed	odwn
n04532670	eng-30-04532670-n	viaduct	odwn
